Asus GeForce GT 1030 GT1030-SL-2G-BRK;https://www.e-katalog.ru/prices/ASUS-GEFORCE-GT-1030-GT1030-SL-2G-BRK;7864,00 р.
Palit GeForce RTX 3090 GameRock;https://www.e-katalog.ru/prices/PALIT-GEFORCE-RTX-3090-GAMEROCK;275990,00 р.
Gigabyte GeForce RTX 3080 Ti AORUS XTREME 12G;https://www.e-katalog.ru/prices/GIGABYTE-GEFORCE-RTX-3080-TI-AORUS-XTREME-12G;190000,00 р.
Asus GeForce RTX 3070 TUF Gaming OC V2 LHR;https://www.e-katalog.ru/prices/ASUS-GEFORCE-RTX-3070-TUF-GAMING-OC-V2-LHR;103000,00 р.
Gigabyte GeForce GTX 1650 SUPER WINDFORCE OC 4G;https://www.e-katalog.ru/prices/GIGABYTE-GEFORCE-GTX-1650-SUPER-WINDFORCE-OC-4G;45090,00 р.
Dell Radeon Pro WX 3200 490-BFQS;https://www.e-katalog.ru/prices/DELL-RADEON-PRO-WX-3200-490-BFQS;14990,00 р.
Asus GeForce GTX 1660 SUPER TUF OC;https://www.e-katalog.ru/prices/ASUS-GEFORCE-GTX-1660-SUPER-TUF-OC;59450,00 р.
Palit GeForce RTX 3080 GamingPro V1 LHR;https://www.e-katalog.ru/prices/PALIT-GEFORCE-RTX-3080-GAMINGPRO-V1-LHR;135990,00 р.
Gigabyte GeForce RTX 3070 AORUS MASTER LHR 8G;https://www.e-katalog.ru/prices/GIGABYTE-GEFORCE-RTX-3070-AORUS-MASTER-LHR-8G;98100,00 р.
Asus GeForce RTX 3060 Ti Dual V2 Mini LHR;https://www.e-katalog.ru/prices/ASUS-GEFORCE-RTX-3060-TI-DUAL-V2-MINI-LHR;80500,00 р.
PNY GeForce RTX 3060 Ti 8GB XLR8 Gaming REVEL EPIC-X RGB Dual LHR;https://www.e-katalog.ru/prices/PNY-GEFORCE-RTX-3060-TI-8GB-XLR8-GAMING-REVEL-EPIC-X-RGB-DUAL-LHR;85428,00 р.
Asus GeForce RTX 3090 TUF OC;https://www.e-katalog.ru/prices/ASUS-GEFORCE-RTX-3090-TUF-OC;273000,00 р.
Asus Radeon RX 6700 XT DUAL;https://www.e-katalog.ru/prices/ASUS-RADEON-RX-6700-XT-DUAL;93490,00 р.
Asus GeForce RTX 3060 Phoenix;https://www.e-katalog.ru/prices/ASUS-GEFORCE-RTX-3060-PHOENIX;79560,00 р.
AFOX GeForce GTX 750 Ti AF750TI-2048D5H5;https://www.e-katalog.ru/prices/AFOX-GEFORCE-GTX-750-TI-AF750TI-2048D5H5;14990,00 р.
Gigabyte GeForce RTX 3070 AORUS MASTER 8G;https://www.e-katalog.ru/prices/GIGABYTE-GEFORCE-RTX-3070-AORUS-MASTER-8G;115000,00 р.
Gigabyte GeForce RTX 3080 AORUS GAMING BOX LHR;https://www.e-katalog.ru/prices/GIGABYTE-GEFORCE-RTX-3080-AORUS-GAMING-BOX-LHR;141333,00 р.
AFOX GeForce GTX 750 AF750-4096D5L4;https://www.e-katalog.ru/prices/AFOX-GEFORCE-GTX-750-AF750-4096D5L4;10990,00 р.
